<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
BTSX.BTC/USD;60;20210214;150000;49082.7900000;49145.7100000;48767.7600000;49048.6300000;37
BTSX.BTC/USD;60;20210214;160000;49053.6100000;49714.6600000;49001.0000000;49459.0300000;256
BTSX.BTC/USD;60;20210214;170000;49458.2100000;49600.0000000;48589.3400000;48790.0800000;97
BTSX.BTC/USD;60;20210214;180000;48800.0000000;49100.0000000;48500.0000000;48803.3000000;70
BTSX.BTC/USD;60;20210214;190000;48780.0000000;48983.1100000;48151.8700000;48600.2100000;118
BTSX.BTC/USD;60;20210214;200000;48610.3900000;49139.0400000;48439.3300000;49066.1900000;93
BTSX.BTC/USD;60;20210214;210000;49069.3100000;49144.7900000;48606.8500000;48651.6700000;40
BTSX.BTC/USD;60;20210214;220000;48621.0000000;48860.1700000;48435.9000000;48764.3500000;44
BTSX.BTC/USD;60;20210214;230000;48780.3000000;48952.5500000;48512.5800000;48733.8500000;40
BTSX.BTC/USD;60;20210215;0;48671.3900000;49044.4500000;48623.7700000;48941.4600000;44
BTSX.BTC/USD;60;20210215;10000;48956.3500000;49083.9400000;48800.0000000;48884.0200000;37
BTSX.BTC/USD;60;20210215;20000;48867.6800000;49329.2300000;48763.5600000;49090.0900000;95
BTSX.BTC/USD;60;20210215;30000;49083.4300000;49122.8300000;48550.0000000;48662.5000000;42
BTSX.BTC/USD;60;20210215;40000;48620.4800000;49048.8200000;48500.0000000;48800.0000000;53
BTSX.BTC/USD;60;20210215;50000;48780.0000000;48841.7100000;47642.1000000;48084.4100000;246
BTSX.BTC/USD;60;20210215;60000;48047.1900000;48278.1900000;45914.7500000;46973.1300000;1098
BTSX.BTC/USD;60;20210215;70000;46960.0000000;47426.0400000;46676.5500000;47150.0000000;298
BTSX.BTC/USD;60;20210215;80000;47149.9900000;47150.0000000;46267.4700000;46888.1200000;301
BTSX.BTC/USD;60;20210215;90000;46865.3200000;47036.4600000;46453.4700000;46799.9500000;124
BTSX.BTC/USD;60;20210215;100000;46754.8600000;47203.5500000;46698.7800000;46945.6900000;144
BTSX.BTC/USD;60;20210215;110000;46890.0000000;47434.5300000;46880.4800000;47338.5800000;102
BTSX.BTC/USD;60;20210215;120000;47318.9900000;47804.5900000;47121.6200000;47649.9800000;165
BTSX.BTC/USD;60;20210215;130000;47628.5500000;47772.1400000;47270.3800000;47549.2800000;168
BTSX.BTC/USD;60;20210215;140000;47549.2900000;48000.0000000;47353.3100000;47885.1900000;79
BTSX.BTC/USD;60;20210215;150000;47891.5500000;48037.2700000;47671.4500000;47841.2200000;68
BTSX.BTC/USD;60;20210215;160000;47909.8000000;48100.0000000;47434.2600000;48006.3900000;216
